datetime,portfolio_value,cash,positions,return
2024-01-02 08:30:00-05:00,100000.0,100000.0,[],
2024-01-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-03 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-04 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-05 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-06 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-07 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-08 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-09 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-10 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-11 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-12 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-13 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-14 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-15 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-16 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-17 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-18 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-19 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-20 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-21 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-22 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-23 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-24 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-25 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-26 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-27 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-28 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-29 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-30 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-31 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-01 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-03 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-04 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-05 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-06 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-07 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-08 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-09 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-10 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-11 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-12 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-13 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-14 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-15 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-16 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-17 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-18 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-19 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-20 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-21 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-22 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-23 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-24 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-25 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-26 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-27 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-28 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-29 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-03-01 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-03-02 09:30:00-05:00,100000.0,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",0.0
2024-03-03 09:30:00-05:00,100000.0,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",0.0
2024-03-04 09:30:00-05:00,102902.23223876953,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",0.02902232238769531
2024-03-05 09:30:00-05:00,105363.1586303711,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",0.023915189574229556
2024-03-06 09:30:00-05:00,105841.87817382812,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",0.0045435192877658626
2024-03-07 09:30:00-05:00,106933.95178222656,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",0.010317972689457333
2024-03-08 09:30:00-05:00,107943.75634765625,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",0.009443254912024468
2024-03-09 09:30:00-05:00,107943.75634765625,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",0.0
2024-03-10 10:30:00-04:00,107943.75634765625,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",0.0
2024-03-11 10:30:00-04:00,108557.12182617188,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",0.005682269167474052
2024-03-12 10:30:00-04:00,107592.19543457031,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",-0.008888651203802778
2024-03-13 10:30:00-04:00,107607.1586303711,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",0.0001390732454185084
2024-03-14 10:30:00-04:00,107554.79315185547,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",-0.00048663564006456994
2024-03-15 10:30:00-04:00,107233.1586303711,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",-0.002990424806361358
2024-03-16 10:30:00-04:00,107233.1586303711,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",0.0
2024-03-17 10:30:00-04:00,107233.1586303711,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",0.0
2024-03-18 10:30:00-04:00,107023.71954345703,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",-0.001953118695645184
2024-03-19 10:30:00-04:00,106993.79315185547,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",-0.0002796239163544989
2024-03-20 10:30:00-04:00,106649.71954345703,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",-0.0032158277434850557
2024-03-21 10:30:00-04:00,110180.28045654297,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",0.03310426814247114
2024-03-22 10:30:00-04:00,108265.40228271484,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",-0.017379499905914475
2024-03-23 10:30:00-04:00,108265.40228271484,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",0.0
2024-03-24 10:30:00-04:00,108265.40228271484,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",0.0
2024-03-25 10:30:00-04:00,108168.1586303711,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",-0.0008981969335856155
2024-03-26 10:30:00-04:00,109260.23223876953,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",0.010096072839052672
2024-03-27 10:30:00-04:00,109013.40228271484,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",-0.0022591015138544446
2024-03-28 10:30:00-04:00,110673.95178222656,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",0.015232526136605307
2024-03-29 10:30:00-04:00,110673.95178222656,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",0.0
2024-03-30 10:30:00-04:00,110673.95178222656,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",0.0
2024-03-31 10:30:00-04:00,110673.95178222656,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",0.0
2024-04-01 10:30:00-04:00,113770.6713256836,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",0.02798056357064449
2024-04-02 10:30:00-04:00,114062.40228271484,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",0.0025642017721432264
2024-04-03 10:30:00-04:00,115184.40228271484,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",0.009836720755880712
2024-04-04 10:30:00-04:00,116254.03680419922,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",0.009286279220853233
2024-04-05 10:30:00-04:00,116620.56091308594,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",0.00315278607919689
2024-04-06 10:30:00-04:00,116620.56091308594,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",0.0
2024-04-07 10:30:00-04:00,116620.56091308594,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",0.0
2024-04-08 10:30:00-04:00,119231.07360839844,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",0.02238466934881278
2024-04-09 10:30:00-04:00,120599.91497802734,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",0.011480575727471187
2024-04-10 10:30:00-04:00,118774.79315185547,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",-0.015133690819801981
2024-04-11 10:30:00-04:00,119881.8413696289,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",0.00932056531858616
2024-04-12 10:30:00-04:00,123636.79315185547,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",0.03132210632842214
2024-04-13 10:30:00-04:00,123636.79315185547,-42321.96319580078,"[{'asset': GLD, 'quantity': 748.0}]",0.0
