time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2024-05-20 10:30:00-04:00,buy,new,,GLD,stock,,0.0,,,market,1,
2024-05-20 10:30:00-04:00,buy,fill,223.0,GLD,stock,,0.0,,223.7899932861328,market,1,0.0
2024-05-22 10:30:00-04:00,sell,new,,GLD,stock,,0.0,,,market,1,
2024-05-22 10:30:00-04:00,sell,fill,223.0,GLD,stock,,0.0,,223.08999633789062,market,1,0.0
2025-06-03 10:30:00-04:00,buy,new,,GLD,stock,,0.0,,,market,1,
2025-06-03 10:30:00-04:00,buy,fill,161.0,GLD,stock,,0.0,,309.55999755859375,market,1,0.0
2025-06-04 10:30:00-04:00,sell,new,,GLD,stock,,0.0,,,market,1,
2025-06-04 10:30:00-04:00,sell,fill,161.0,GLD,stock,,0.0,,309.4100036621094,market,1,0.0
